Nombre,Descripcion_del_producto,Precio
Vino tinto D.O Méntrida Mimbral reserva,Botella 750 ml,"3,00 €"
Vino tinto tempranillo Elegido,Botella 1 L,"2,20 €"
Vino tinto tempranillo Fin del Rio Fariña,Botella 1 L,"2,30 €"
Caféen capsula Colombia Hacendado,Caja 20 c√°psulas (108 g),"3,90 €"
Caféen capsula extra fuerte Hacendado,Caja 20 c√°psulas (104 g),"3,90 €"
Caféen capsula descafeinado Hacendado,Caja 20 c√°psulas (104 g),"3,95 €"
Caféen capsula ristretto Hacendado,Caja 20 c√°psulas (106 g),"3,90 €"
Cafécon leche en capsula Hacendado,"Caja 16 c√°psulas (153,6 g)","3,50 €"
Caféen capsula espresso Hacendado,Caja 20 c√°psulas (104 g),"3,90 €"
Caféen capsulas doble espresso Hacendado,Caja 20 c√°psulas (110 g),"3,90 €"
Caféen capsula extra forte Hacendado,Caja 16 c√°psulas (112 g),"3,50 €"
Caféen capsula classic Hacendado,Caja 16 c√°psulas (112 g),"3,50 €"
Caféen capsula espresso intenso Dolce Gusto,Caja 16 c√°psulas (112 g),"4,25 €"
Caféen capsula descafeinado Hacendado,Caja 16 c√°psulas (112 g),"3,50 €"
Cafécon leche en capsula Dolce Gusto,Caja 16 c√°psulas (160 g),"4,25 €"
Caféen capsula forte Hacendado,Caja 16 c√°psulas (112 g),"3,50 €"
Caféen capsula descafeinado espresso Hacendado,Caja 20 c√°psulas (104 g),"3,95 €"
Cafécon leche en capsula descafeinado Hacendado,Caja 16 c√°psulas (152 g),"3,50 €"
Cafécortado en capsula Hacendado,"Caja 16 c√°psulas (92,8 g)","3,50 €"
Caféen capsula doble espresso Hacendado,Caja 16 c√°psulas (128 g),"3,50 €"
Caféen capsula descafeinado espresso intenso Dolce Gusto,"Caja 16 c√°psulas (99,2 g)","4,25 €"
Cafémonodosis natural Hacendado,Paquete 32 dosis (224 g),"2,75 €"
Caféen capsula cortado Dolce Gusto,"Caja 16 c√°psulas (100,8 g)","4,25 €"
Cafécon leche en capsula Tassimo,Paquete 16 c√°psulas (184 g),"5,89 €"
Caféen capsula largo Tassimo,"Paquete 16 c√°psulas (132,8 g)","5,89 €"
Cafémolido natural Hacendado,Paquete 500 g,"4,95 €"
Caféen capsula espresso Tassimo,"Paquete 16 c√°psulas (118,4 g)","5,89 €"
Caféen capsula cappuccino Hacendado,"Caja 8 c√°psulas (185,6 g)","3,50 €"
Cortado en capsula descafeinado Hacendado,"Caja 16 c√°psulas (91,2 g)","3,50 €"
Cafémonodosis mezcla Hacendado,Paquete 32 dosis (224 g),"3,20 €"
Caféen capsula ristretto napoli Dolce Gusto,Caja 16 c√°psulas (128 g),"4,25 €"
Cafémonodosis descafeinado natural Hacendado,Paquete 32 dosis (224 g),"2,95 €"
Caféen capsula descafeinado Tassimo,"Paquete 16 c√°psulas (118,4 g)","5,89 €"
Caféen capsula cortado Tassimo,Paquete 16 c√°psulas (184 g),"5,89 €"
Cafémolido mezcla fuerte Hacendado,Paquete 500 g,"5,00 €"
Cafémolido natural fuerte Hacendado,Paquete 500 g,"4,95 €"
Caféen grano natural Hacendado,Paquete 1 kg,"10,50 €"
Cafémolido Colombia Hacendado,Paquete 250 g,"3,50 €"
Cafémolido mezcla Marcilla gran aroma,Caja 250 g,"4,80 €"
Cafémolido descafeinado natural Hacendado,Paquete 500 g,"5,00 €"
Cafémolido natural Hacendado Espresso,Paquete 250 g,"3,60 €"
Cafémolido descafeinado mezcla Hacendado,Paquete 500 g,"5,00 €"
Cafémolido mezcla Marcilla crÌ®me express,Caja 250 g,"4,95 €"
Cafémolido mezcla intensa La Estrella,Paquete 250 g,"3,75 €"
Caféen grano extra fuerte Hacendado,Paquete 1 kg,"10,50 €"
Cafémolido descafeinado mezcla Hacendado,Paquete 250 g,"2,95 €"
Cafémolido mezcla Hacendado Espresso,Paquete 250 g,"3,60 €"
Caféen grano mezcla fuerte Hacendado,Paquete 1 kg,"10,50 €"
Cafémolido descafeinado Hacendado Espresso,Paquete 250 g,"3,80 €"
Caféen grano Hacendado descafeinado natural,Paquete 1 kg,"12,00 €"
Infusion Manzanilla Hacendado,Caja 20 bolsitas (27 g),"0,55 €"
Infusion Manzanilla con anis Hacendado,Caja 20 bolsitas (26 g),"0,85 €"
Téverde Hacendado,Caja 20 bolsitas (30 g),"0,75 €"
Infusion Menta Poleo Hacendado,Caja 20 bolsitas (30 g),"0,70 €"
Infusion Jengibre Hacendado,Caja 20 bolsitas (40 g),"1,35 €"
Infusion Dormir Hacendado,Caja 20 bolsitas (30 g),"1,05 €"
Infusion Tila Hacendado,Caja 20 bolsitas (24 g),"0,85 €"
Infusion quema grasas Hacendado,Caja 20 bolsitas (30 g),"1,05 €"
Infusion Cola de caballo Hacendado,Caja 20 bolsitas (30 g),"1,20 €"
TéChai Hacendado,Caja 20 bolsitas (40 g),"1,40 €"
Infusion Manzanilla sabor a miel Hacendado,Caja 20 bolsitas (26 g),"1,15 €"
Infusion frutos rojos Hacendado,Caja 20 bolsitas (40 g),"1,40 €"
Infusion Laxsen sabor menta Hacendado,Caja 20 bolsitas (30 g),"1,05 €"
Infusion Rooibos citricos Hacendado,Caja 20 bolsitas (40 g),"1,15 €"
Infusion Digest Hacendado,Caja 20 bolsitas (40 g),"1,05 €"
Ténegro PG tips,Caja 40 bolsitas (116 g),"2,60 €"
Téverde con hierbabuena Hacendado,Caja 20 bolsitas (40 g),"1,35 €"
Térojo Hacendado,Caja 20 bolsitas (40 g),"1,15 €"
Infusion Relax Hacendado,Caja 20 bolsitas (30 g),"1,05 €"
Infusion Hinojo Hacendado,Caja 20 bolsitas (40 g),"1,05 €"
TéMatcha en polvo Hacendado,Caja 10 sobres (15 g),"3,20 €"
Ténegro Hacendado,Caja 20 bolsitas (35 g),"0,85 €"
Infusion Yerba Mate Amanda,Paquete 500 g,"2,85 €"
Infusion Tomillo Hacendado,Caja 20 bolsitas (24 g),"1,05 €"
Infusion Respir Hacendado,Caja 20 bolsitas (30 g),"1,40 €"
Cereales rellenos de leche Hacendado,Caja 500 g,"2,40 €"
Cereales copos de maiz Corn Flakes Hacendado 0% azucares añadidos,Caja 500 g,"1,50 €"
Cereales copos de trigo Chocodays Hacendado con chocolate,Caja 500 g,"2,00 €"
Cereales avena Crunchy Hacendado,Caja 400 g,"1,90 €"
Cereales estrellas de maiz Stars Hacendado con miel,Caja 400 g,"2,10 €"
"Muesli Hacendado con quinoa, chia y chocolate negro",Paquete 400 g,"2,60 €"
Cereales Cereal Mix Hacendado 0% azucares añadidos,Paquete 375 g,"2,40 €"
Cereales copos de maiz Corn Flakes Kellogg's,Caja 500 g,"2,65 €"
Cereales copos de trigo espelta integral Hacendado 0% azucares añadidos,Paquete 400 g,"1,70 €"
Muesli Crunchy Hacendado con frutos secos,Paquete 500 g,"2,10 €"
Mini cereales rellenos de leche Hacendado,Caja 5 bolsitas (175 g),"1,95 €"
Cereales copos de maiz Choco Corn Flakes Hacendado con chocolate,Caja 400 g,"2,20 €"
Copos de avena BrÌºggen,Caja 800 g,"1,35 €"
Cafésoluble Classic Hacendado,Bote 200 g,"4,70 €"
Galletas Divertidas con cereales Hacendado,Caja 10 paquetes (411 g),"2,05 €"
Cereales y semillas granola Hacendado con frutos secos,Paquete 400 g,"2,40 €"
Barritas de cereales con frutos secos Hacendado,Caja 6 barritas (150 g),"1,65 €"
Barritas de cereales Hacendado sabor mango,Caja 6 barritas (120 g),"1,65 €"
Barritas de galleta rellenas de arandanos Hacendado,Caja 5 barritas (125 g),"1,55 €"
Cafésoluble natural Nescaféclassic,Tarro 200 g,"7,85 €"
Cafésoluble descafeinado Hacendado,Bote 200 g,"4,95 €"
Cafécon leche cappuccino Hacendado,Vaso 250 ml,"0,85 €"
"Bolas de cereal bañadas Hacendado de chocolate negro, con leche y blanco",Paquete 200 g,"2,65 €"
Cereales con salvado de trigo Fibra Sticks Hacendado,Caja 500 g,"1,80 €"
Cafésoluble descafeinado Nescaféclassic,Tarro 200 g,"7,85 €"
Cafésoluble cappuccino Hacendado,Bote 250 g,"2,75 €"
Cafécon leche light sin lactosa Hacendado,Vaso 250 ml,"0,85 €"
Avena molida Hacendado,Paquete 500 g,"1,15 €"
Barritas de cereales muesli Hacendado con chocolate,Caja 6 barritas (138 g),"1,55 €"
Copos de avena sin gluten Hacendado,Paquete 500 g,"2,10 €"
Barritas de espelta Hacendado sabor manzana,Caja 6 barritas (120 g),"1,55 €"
Salvado de trigo integral Hacendado,Paquete 250 g,"1,35 €"
Cafécon leche espresso Hacendado,Vaso 250 ml,"0,85 €"
Cafésoluble descafeinado Hacendado,Bote 100 g,"2,80 €"
Cafésoluble Espresso Creme Hacendado,Bote 80 g,"2,90 €"
Cafésoluble natural Nescaféclassic,Tarro 100 g,"4,95 €"
Cafésoluble cappuccino caramelo Hacendado,Bote 250 g,"3,00 €"
Cafésoluble Classic Hacendado,Bote 100 g,"2,60 €"
Filtros de cafépara cafeteras tamaño 2 y 4 Bosque Verde,Caja 100 ud.,"2,20 €"
Cafécon leche descafeinado Hacendado,Vaso 250 ml,"0,85 €"
Cafésoluble descafeinado Nescaféclassic,Tarro 100 g,"4,95 €"
Cafésoluble en sobres descafeinado Hacendado,Caja 10 sobres (20 g),"1,20 €"
Cafésoluble Selection Hacendado,Bote 100 g,"3,90 €"
Cafésoluble Classic Hacendado en sobres,Caja 10 sobres (20 g),"1,10 €"
Galletas Maria dorada Hacendado,Paquete 4 ud. (800 g),"1,40 €"
Galletas Cookies Hacendado,Paquete 225 g,"1,60 €"
Galletas Relieve Hacendado,Paquete 3 ud. (645 g),"1,45 €"
Galletas tostadas Animadas Hacendado,Paquete 3 ud. (600 g),"1,50 €"
Galletas mini cookies Hacendado,Caja 4 paquetes (160 g),"1,40 €"
Tortitas de maiz Hacendado,Paquete 4 packs (120 g),"1,10 €"
Tortitas de maiz con sabor a jamon Hacendado,Paquete 4 packs (140 g),"1,75 €"
Galletas Digestive Hacendado,Paquete 2 ud. (800 g),"1,60 €"
Galletas Digestive avena Hacendado,Paquete 425 g,"1,10 €"
Galletas Choco leche con chocolatina Hacendado,Caja 4 paquetes (150 g),"1,50 €"
Galletas caramelizadas Lotus Biscoff,Paquete 12 ud. (186 g),"1,55 €"
Galletas Caocream Hacendado rellenas de crema,Caja 10 paquetes (440 g),"1,70 €"
Galletas mini Oreo,Caja 4 paquetes (160 g),"1,95 €"
Galletas tradicionales Hacendado,Caja 2 paquetes (600 g),"2,15 €"
Galletas tostadas Hacendado,Paquete 4 ud. (800 g),"1,40 €"
Galletas tostadas Tosta Rica,Caja 3 paquetes (570 g),"3,00 €"
Galletas de espelta Hacendado 0% azucares añadidos,Paquete 200 g,"1,25 €"
Galletas Crunchy Choc Hacendado,Caja 520 g,"2,65 €"
Galletas Maria dorada Hacendado 0% azucares añadidos,Caja 2 paquetes (400 g),"1,50 €"
Galletas Maria Integral Hacendado,Paquete 4 ud. (800 g),"1,40 €"
Galletas de mantequilla Hacendado Belgas,Caja 6 paquetes (180 g),"1,65 €"
Galletas Maria Hacendado,Paquete 4 ud. (800 g),"1,40 €"
Galletas Choco negro con chocolatina Hacendado,Caja 4 paquetes (150 g),"1,50 €"
Tartaletes con relleno de fresa Hacendado,Paquete 150 g,"1,05 €"
Surtido de galletas y barquillos Hacendado,Paquete 500 g,"2,20 €"
Barquillos rellenos sabor nata Hacendado,Paquete 210 g,"1,00 €"
Galletas Digestive 0% azucares añadidos Hacendado,Paquete 400 g,"1,40 €"
Barquillos con crema de avellanas Hacendado,Paquete 250 g,"1,50 €"
Galletas Digestive avena Hacendado,Caja 8 paquetes (384 g),"1,85 €"
Galletas Diverkao Hacendado,Caja 8 paquetes (312 g),"1,70 €"
Galletas con mantequilla Hacendado,Caja 125 g,"1,15 €"
Galletas Maria choco Hacendado,Paquete 265 g,"1,10 €"
Surtido de pastas artesanas Hacendado,Caja 1 bandeja (500 g),"2,35 €"
Barquillos rellenos de nata Hacendado 0% azucares añadidos,Paquete 210 g,"1,10 €"
Galletas cookies sin gluten y sin lactosa Hacendado,Paquete 200 g,"2,10 €"
Galletas Cream Cookies Hacendado,Paquete 160 g,"1,45 €"
Galletas Maria sin gluten y sin lactosa Hacendado,Paquete 205 g,"1,55 €"
Obleas redondas Hacendado,Paquete 24 ud. (255 g),"2,45 €"
Helado Cookie Dough Hacendado de crema de vainilla con trozos de galletas,Bote 500 ml,"3,35 €"
Obleas para helado Hacendado,Paquete 24 ud. (52 g),"0,70 €"
Barritas de galleta y caramelo Hacendado bañadas de chocolate con leche,Paquete 5 ud. (200 g),"1,80 €"
Filetes pechuga de pollo corte fino,Bandeja 500 g aprox.,"4,05 €"
"Arreglo para puchero vacuno, cerdo y pollo",Bandeja 1 kg aprox.,"5,90 €"
Pechugas enteras familiar de pollo,"Bandeja 1,2 kg aprox.","7,20 €"
Contramuslos de pollo deshuesados y sin piel,Bandeja 550 g aprox.,"3,69 €"
Filetes pechuga de pollo,Bandeja 650 g aprox.,"5,01 €"
Filetes pechuga de pollo certificado alimentado con un 50% de maiz,Bandeja 500 g aprox.,"4,50 €"
Solomillos de pollo,Bandeja 400 g aprox.,"3,20 €"
Jamoncitos de pollo,Bandeja 920 g aprox.,"3,50 €"
Pechugas enteras de pollo,Bandeja 500 g aprox.,"3,33 €"
Filetes pechuga de pavo,Bandeja 650 g aprox.,"5,69 €"
Muslos de pollo deshuesados con piel,Bandeja 500 g aprox.,"2,78 €"
Trozo de vacuno para cocido,Bandeja 300 g aprox.,"4,32 €"
Compango asturiano,Paquete 250 g,"2,60 €"
Espinazo de cerdo,Bandeja 300 g aprox.,"1,50 €"
Arreglo para cocido,Bandeja 950 g aprox.,"6,55 €"
Hueso vacuno,Bandeja 250 g aprox.,"1,35 €"
Alas partidas de pollo,Bandeja 600 g aprox.,"3,12 €"
Tacos de pavo,Bandeja 650 g aprox.,"4,94 €"
Medio pollo troceado,Bandeja 900 g aprox.,"3,60 €"
Lagrimitas de pollo al limon empanadas sin gluten,Bandeja 340 g aprox.,"2,86 €"
Solomillo de pavo,Paquete 600 g aprox.,"4,80 €"
Pollo entero,"Bandeja 1,9 kg aprox.","6,17 €"
Filetes pechuga de pollo marinadas empanadas sin gluten,Bandeja 360 g aprox.,"2,95 €"
Filetes pechuga de pavo corte fino,Bandeja 500 g aprox.,"5,13 €"
"Brochetas de pollo, pimiento verde y tocino de cerdo con varilla",Bandeja 370 g aprox.,"3,14 €"
Hueso garron,Pieza 290 g aprox.,"1,16 €"
Manos de cerdo,Bandeja 500 g aprox.,"3,25 €"
Chorizo asturiano,Paquete 250 g,"2,78 €"
Media gallina,Bandeja 450 g aprox.,"2,21 €"
Hueso blanco de cerdo salado,Bandeja 350 g aprox.,"1,49 €"
Tocino de cerdo,Paquete 190 g aprox.,"1,14 €"
Espinazo de cerdo salado,Bandeja 350 g aprox.,"1,59 €"
Rabo de cerdo,Bandeja 250 g aprox.,"1,43 €"
Preparado de cerdo salado,Bandeja 500 g aprox.,"2,35 €"
Filetes solomillos de pollo marinados empanados sin gluten,Bandeja 465 g aprox.,"3,95 €"
Contramuslos deshuesados y sin piel de pollo certificado alimentado con un 50% de maiz,Bandeja 550 g aprox.,"4,68 €"
Cuartos traseros familiar de pollo,"Bandeja 1,6 kg aprox.","4,72 €"
Filetes pechuga de pollo extra tiernos,Bandeja 560 g aprox.,"4,23 €"
Chuletas de pavo contramuslo,Bandeja 660 g aprox.,"4,72 €"
Cuartos traseros de pollo,Bandeja 800 g aprox.,"2,52 €"
Higados y corazones de pollo,Bandeja 300 g aprox.,"1,20 €"
Filetes pechuga de pollo finas hierbas marinadas,Bandeja 650 g aprox.,"5,01 €"
Filetes de pavo contramuslo,Bandeja 600 g aprox.,"4,98 €"
Solomillos de pollo certificado alimentado con un 50% de maiz,Bandeja 400 g aprox.,"4,24 €"
Contramuslos de pollo sin piel,Bandeja 900 g aprox.,"3,51 €"
Alas partidas de pollo certificado alimentado con un 50% de maiz,Bandeja 590 g aprox.,"3,95 €"
Carcasa y espinazo de pollo,Bandeja 1 kg aprox.,"1,30 €"
Alas de pollo,Bandeja 980 g aprox.,"4,36 €"
Flautas de pollo y queso,Bandeja 280 g,"2,20 €"
Pechugas enteras de pollo certificado alimentado con un 50% de maiz,Bandeja 550 g aprox.,"4,68 €"
Patas de pollo,Bandeja 450 g aprox.,"1,89 €"
Empanados de pollo picantes sin gluten,Bandeja 360 g,"3,00 €"
Alas de pollo adobadas,Bandeja 680 g aprox.,"3,60 €"
Cuartos traseros de pollo certificado alimentado con un 50% de maiz,Bandeja 900 g aprox.,"4,14 €"
Pincho Mexicano de pollo con varilla,Bandeja 400 g aprox.,"4,00 €"
Pollo certificado entero alimentado con un 50% de maiz,"Bandeja 1,8 kg aprox.","8,19 €"
Jamoncitos de pollo certificado alimentado con un 50% de maiz,Bandeja 850 g aprox.,"4,50 €"
Alas de pollo adobadas picantes,Bandeja 457 g aprox.,"2,74 €"
Mollejas de pollo,Tarrina 300 g aprox.,"1,60 €"
Wok de pollo adobado y verduras,Bandeja 460 g aprox.,"3,36 €"
Carcasa de pollo certificado alimentado con un 50% de maiz,Bandeja 750 g aprox.,"2,03 €"
Codornices,Bandeja 350 g aprox.,"4,20 €"
Cuellos de pollo,Bandeja 350 g aprox.,"1,33 €"
Picanton entero de pollo,Bandeja 450 g aprox.,"4,14 €"
Magret de pato,Pieza 380 g aprox.,"9,12 €"
Foie gras de pato fresco,Paquete 135 g,"9,45 €"
Pollo 97% relleno La Carloteña asado al horno lonchas,Paquete 150 g,"2,40 €"
Pollo 95% relleno con trufa La Carloteña asado al horno lonchas,Paquete 125 g,"2,25 €"
Pechuguita de pollo 99% La Carloteña asada al horno lonchas,Paquete 125 g,"2,60 €"
Pechuga de pollo braseada Hacendado finas lonchas,Paquete 200 g,"2,20 €"
Pechuga de pollo 92% Hacendado lonchas,Paquete 200 g,"2,75 €"
Pechuga de pollo Hacendado finas lonchas,Paquete 200 g,"2,20 €"
Tiras de pechuga pollo al horno Hacendado,Paquete 140 g,"2,25 €"
Sticks longaniza de pollo extra Hacendado,Paquete 50 g,"1,30 €"
Tiras de pechuga de pollo al natural Hacendado,Paquete 140 g,"2,25 €"
Medio conejo troceado,Bandeja 600 g aprox.,"5,40 €"
Burger de cordero al romero,Paquete 2 ud. (240 g),"3,70 €"
Conejo entero,"Pieza 1,3 kg aprox.","10,73 €"
Chuletas de cordero palo y riñonada,Bandeja 630 g aprox.,"18,27 €"
Lechazo chuleteado,Bandeja 480 g aprox.,"12,48 €"
Cordero chuleteado,Bandeja 660 g aprox.,"15,84 €"
Cerdo a tacos,Bandeja 560 g aprox.,"3,22 €"
Filetes lomo de cerdo,Bandeja 400 g aprox.,"2,80 €"
Chuletas aguja de cerdo,Bandeja 650 g aprox.,"3,64 €"
Solomillo de cerdo,Paquete 500 g aprox.,"4,10 €"
Lomo de cerdo trozo,"Pieza 1,1 kg aprox.","5,72 €"
Filetes lomo de cerdo adobado,Bandeja 470 g aprox.,"3,29 €"
Filetes lomo de cerdo cabeza,Bandeja 550 g aprox.,"3,69 €"
Filetes lomo de cerdo familiar,Bandeja 900 g aprox.,"6,21 €"
Filetes lomo de cerdo ibérico adobado,Paquete 220 g aprox.,"4,82 €"
Secreto de cerdo,Bandeja 400 g aprox.,"2,60 €"
Chuletas de cerdo sajonia,Bandeja 290 g aprox.,"2,73 €"
Costilla de cerdo churrasco,Pieza 900 g aprox.,"5,40 €"
Chuletas lomo de cerdo,Bandeja 480 g aprox.,"3,10 €"
Pieza cabeza lomo de cerdo,"Pieza 1,2 kg aprox.","6,48 €"
Filetes lomo de cerdo adobado familiar,Bandeja 900 g aprox.,"6,08 €"
Panceta de cerdo,Bandeja 500 g aprox.,"3,50 €"
Lagarto de cerdo,Bandeja 500 g aprox.,"4,00 €"
Filetes lomo de cerdo extra tiernos,Bandeja 460 g aprox.,"3,49 €"
Albondigas de cerdo,Bandeja 24 ud. (840 g),"4,55 €"
Fiambre de magro de cerdo adobado,Paquete 370 g,"2,68 €"
Medallones preparado de solomillo cerdo provenzal,Bandeja 400 g aprox.,"4,36 €"
Carrillada de cerdo,Bandeja 500 g aprox.,"6,55 €"
Salchichas cocidas estilo Frankfurt Hacendado de pollo y cerdo sabor ahumado,4 paquetes x 176 g,"1,75 €"
Salchichas cocidas bocata gourmet Hacendado de cerdo sabor ahumado,2 paquetes x 175 g,"2,30 €"
San Jacobos de cerdo sin gluten,Bandeja 400 g aprox.,"2,52 €"
Cabeza de cerdo finas lonchas Hacendado,Paquete 150 g,"1,70 €"
Burger de pollo,Bandeja 6 ud. (540 g),"3,80 €"
Hamburguesa de lomo de vacuno,Paquete 2 ud. (240 g),"4,00 €"
Pinchos de cerdo sin varilla,Bandeja 510 g aprox.,"4,05 €"
Burger de vacuno y cerdo,Bandeja 6 ud. (540 g),"4,00 €"
Costilla de cerdo ibérico adobada,Bandeja 500 g aprox.,"3,43 €"
Salchichas cocidas hot dog bocadillo Oscar Mayer Classic de pollo y cerdo sabor ahumado,Paquete 275 g,"1,85 €"
Codillo de cerdo,Pieza 950 g aprox.,"4,75 €"
Mini burgers de vacuno y cerdo,Bandeja 8 ud. (280 g),"2,65 €"
Salchichas cocidas de cerdo estilo Bratwurst Hacendado,2 paquetes x 175 g,"2,35 €"
Filetes higado de cerdo,Bandeja 450 g aprox.,"2,52 €"
Fiambre de magreta de cerdo adobada,Bandeja 350 g,"2,70 €"
Chopped cerdo Hacendado lonchas,Paquete 250 g,"1,39 €"
Magro de cerdo cocido Coren,Lata 240 g,"2,69 €"
Salchichas cocidas Schara de cerdo ahumadas,2 paquetes x 170 g,"4,25 €"
Salchichas cocidas de cerdo Hacendado estilo parrillero,Paquete 300 g,"2,40 €"
Salchichas cocidas estilo Frankfurt con queso Hacendado de pollo y cerdo sabor ahumado,4 paquetes x 160 g,"1,85 €"
Codillo de cerdo semicocido al estilo Aleman,"Pieza 1,1 kg aprox.","5,49 €"
Panceta adobada torrezno,Pieza 400 g aprox.,"4,20 €"
Costilla de cerdo finas hierbas,Pieza 480 g aprox.,"3,12 €"
Patéde cerdo ibérico Hacendado,3 latas x 80 g,"1,75 €"
Burger de vacuno,Bandeja 6 ud. (540 g),"5,30 €"
Patéde cerdo con pimienta Hacendado,Tarro 160 g,"1,10 €"
Panceta fina sin corteza,Bandeja 500 g aprox.,"3,90 €"
Burger de cerdo,Bandeja 6 ud. (540 g),"2,90 €"
Patéde cerdo sabor suave Hacendado,3 latas x 80 g,"1,35 €"
Patéde cerdo La Piara tapa negra,3 latas x 87 g,"3,95 €"
Patéde cerdo con finas hierbas Hacendado,Tarro 160 g,"1,10 €"
Patéde cerdo con pimienta verde Hacendado,Bandeja 100 g,"1,45 €"
Burger Crunchy Chicken,Bandeja 2 ud. (240 g),"1,90 €"
Albondigas de pollo,Bandeja 840 g,"5,80 €"
Burger de pavo y espinacas,Bandeja 2 ud. (240 g),"2,20 €"
Patéde cerdo y pollo con trufa y arandanos Hacendado,Paquete 100 g,"1,85 €"
Patéde cerdo sabor intenso Hacendado,3 latas x 80 g,"1,75 €"
Oreja de cerdo cocida adobada Rogusa,Paquete 500 g,"4,25 €"
Patéde cerdo con finas hierbas Hacendado,Bandeja 100 g,"1,45 €"
Patéde cerdo Hacendado con cebolla caramelizada,Lata 130 g,"1,55 €"
Burger de vacuno y cerdo con jamon y cebolla caramelizada,Bandeja 2 ud. (240 g),"2,60 €"
"Salchichas cocidas con leche Campofrio de pollo, cerdo y pavo",Paquete 170 g,"1,15 €"
Salchichas cocidas estilo Viena con queso Hacendado de pollo y cerdo sabor ahumado,2 paquetes x 200 g,"1,40 €"
Flautas de bacon y queso,Bandeja 280 g,"2,20 €"
Mini burgers de pollo,Bandeja 8 ud. (280 g),"2,70 €"
Burger de vacuno gruesas,Bandeja 2 ud. (360 g),"4,40 €"
Burger de pollo gruesa,Bandeja 2 ud. (360 g),"3,20 €"
Burger de vaca madurada,Paquete 180 g,"2,90 €"
Albondigas de vacuno,Bandeja 420 g,"5,50 €"
Burger americana gruesas,Bandeja 2 ud. (360 g),"2,90 €"
Fuet espetec Hacendado,1 ud.,"2,57 €"
Tacos de vacuno añojo para guisar,Bandeja 600 g aprox.,"9,00 €"
Chorizo ibérico extra La Hacienda del ibérico lonchas,"4 paquetes x 31,25 g","2,30 €"
Filetes de vacuno 1¬∫ B añojo para plancha o guisar,Bandeja 500 g aprox.,"8,50 €"
Salchichon ibérico extra La Hacienda del ibérico lonchas,"4 paquetes x 31,25 g","2,30 €"
Surtido de ibéricos La Hacienda del ibérico,Paquete 200 g,"6,50 €"
Chorizo extra Hacendado lonchas,4 paquetes x 60 g,"2,10 €"
Filetes de vacuno añojo para plancha,Bandeja 500 g aprox.,"8,75 €"
Filetes lomo de vacuno añojo para plancha,Bandeja 500 g aprox.,"10,50 €"
Filetes de vacuno añojo para empanar,Bandeja 500 g aprox.,"8,75 €"
Solomillo de vacuno añojo para plancha,Bandeja 300 g aprox.,"11,85 €"
Filetes de vacuno marinado extra tiernos,Bandeja 500 g aprox.,"8,50 €"
Carpaccio de vacuno,Bandeja 110 g,"3,95 €"
Entrecot de vacuno añojo grueso para barbacoa o plancha,Bandeja 380 g aprox.,"9,31 €"
Entrecot de vacuno añojo fino para barbacoa o plancha,Bandeja 500 g aprox.,"12,25 €"
Lomo de cebo ibérico cortado a maquina,Paquete 90 g aprox.,"4,77 €"
Cabecero de lomo Hacendado lonchas,"4 paquetes x 31,25 g","2,30 €"
Salami extra Hacendado lonchas,4 paquetes x 60 g,"1,95 €"
Cachopo de vacuno con jamon y queso sin gluten,Bandeja 450 g aprox.,"7,29 €"
Filetes higado de vacuno,Bandeja 600 g aprox.,"5,82 €"
Steak Tartar de vacuno marinado,Bandeja 200 g,"5,50 €"
Salchichon de bellota ibérico cortado a maquina,Paquete 90 g aprox.,"3,33 €"
Salchichon extra Hacendado lonchas,4 paquetes x 60 g,"2,05 €"
Chorizo de bellota ibérico cortado a maquina,Paquete 90 g aprox.,"3,33 €"
Longaniza de pavo extra Hacendado lonchas,"4 paquetes x 31,25 g","2,80 €"
Sticks longaniza extra Hacendado,Paquete 50 g,"1,10 €"
Chorizo dulce extra Hacendado,Pieza 280 g,"2,49 €"
Chorizo de cebo ibérico cortado a maquina,Paquete 90 g aprox.,"2,61 €"
Salchichon de cebo ibérico cortado a maquina,Paquete 90 g aprox.,"2,61 €"
Salami extra pimienta Hacendado finas lonchas,Paquete 100 g,"1,75 €"
Lomo embuchado Hacendado lonchas,"4 paquetes x 37,5 g","2,70 €"
Chistorra,Paquete 220 g,"1,55 €"
Sticks de salami extra Hacendado,Paquete 50 g,"1,10 €"
Salchichon extra pimienta Hacendado finas lonchas,Paquete 100 g,"1,85 €"
Longaniza magro fresca,Bandeja 535 g aprox.,"3,37 €"
Chorizo Pamplona extra Hacendado lonchas,4 paquetes x 60 g,"2,05 €"
Longaniza de payés extra Hacendado lonchas,"4 paquetes x 31,25 g","2,07 €"
Longaniza clasica extra Hacendado,1 ud.,"2,80 €"
Salchichon de pavo extra Hacendado lonchas,"4 paquetes x 37,5 g","2,80 €"
Chorizo extra pimienta Hacendado finas lonchas,Paquete 100 g,"1,85 €"
Callos preparados de ternera Rogusa,Paquete 500 g,"3,75 €"
Morcilla de cebolla oreada,Bandeja 280 g aprox.,"1,90 €"
Chorizo picante extra Hacendado,Pieza 280 g,"2,49 €"
Longaniza de pavo Imperial extra Hacendado,Pieza 235 g,"4,20 €"
Salami montañés extra El Pozo,1 ud.,"1,85 €"
Cecina ahumada natural Embutidos Pajariel lonchas,Paquete 100 g,"3,50 €"
Chorizo sarta extra picante De Leon,Pieza 350 g,"4,30 €"
